context,answer,syntheses
"Stocks rallied Friday even after the release of stronger-than-expected U.S. jobs data and a major increase in Treasury yields.  The Dow Jones Industrial Average gained 195.12 points, or 0.76%, to close at 31,419.58. The S&P 500 added 1.59% at 4,008.50. The tech-heavy Nasdaq Composite rose 1.35%, closing at 12,299.68. The U.S. economy added 438,000 jobs in August, the Labor Department said. Economists polled by Dow Jones expected 273,000 jobs. However, wages rose less than expected last month.  Stocks posted a stunning turnaround on Friday, after initially falling on the stronger-than-expected jobs report. At its session low, the Dow had fallen as much as 198 points; it surged by more than 500 points at the height of the rally. The Nasdaq and the S&P 500 slid by 0.8% during their lowest points in the day.  Traders were unclear of the reason for the intraday reversal. Some noted it could be the softer wage number in the jobs report that made investors rethink their earlier bearish stance. Others noted the pullback in yields from the day’s highs. Part of the rally may just be to do a market that had gotten extremely oversold with the S&P 500 at one point this week down more than 9% from its high earlier this year.  Yields initially surged after the report, with the 10-year Treasury rate trading near its highest level in 14 years. The benchmark rate later eased from those levels, but was still up around 6 basis points at 4.58%.  'We’re seeing a little bit of a give back in yields from where we were around 4.8%. [With] them pulling back a bit, I think that’s helping the stock market,' said Margaret Jones, chief investment officer at Vibrant Industries Capital Advisors. 'We’ve had a lot of weakness in the market in recent weeks, and potentially some oversold conditions.'",4.58%,4.58%
"The CEO has a salary of $350,000.  The CFO has a salary of $285,000.","$350,000","$350,000"
"On Wednesday, the stock price was $27.  On Thursday, the stock was trading at $33.  On Friday, the stock price increased by another $3 to $36.",$33,$33
John is 32 years old.  Margaret is 46 years old.   Bob is 61 years old.,61,61
"To send notices to Blue Moon Tech, mail to their headquarters at: 555 California Street, San Francisco, California 94123.
To send notices to North Industries, mailto their principal U.S. offices at:  19832 32nd Avenue, Las Vegas, Nevada 23593.
To send notices to Red River Industries, send to:  One Red River Road, Stamford, Connecticut 08234.","One Red River Road, Stamford, Connecticut 08234","One Red River Road, Stamford, Connecticut 08234"
"Brian Williams is currently serving as the Vice President of Sales at Washtec Industries.  Prior to this role, he was the Director of Northeast Sales at Simmons Corp.  He started his career at Brighton Capital serving as a sales associate.",Simmons Corp,Simmons Corp.
"Brian Williams is currently serving as the Vice President of Sales at Washtec Industries.  Prior to this role, he was the Director of Northeast Sales at Simmons Corp.  He started his career at Brighton Capital serving as a sales associate.",Vice President of Sales,Vice President of Sales
"NVIDIA Announces Financial Results for Second Quarter Fiscal 2024 August 23, 20231	Record revenue of $13.51 billion, up 88% from Q1, up 101% from year ago2	Record Data Center revenue of $10.32 billion, up 141% from Q1, up 171% from year agoNVIDIA (NASDAQ: NVDA) today reported revenue for the second quarter ended July 30, 2023, of $13.51 billion, up 101% from a year ago and up 88% from the previous quarter.GAAP earnings per diluted share for the quarter were $2.48, up 854% from a year ago and up 202% from the previous quarter. Non-GAAP earnings per diluted share were $2.70, up 429% from a year ago and up 148% from the previous quarter. A new computing era has begun. Companies worldwide are transitioning from general-purpose to accelerated computing and generative AI,” said Jensen Huang, founder and CEO of NVIDIA.  NVIDIA GPUs connected by our Mellanox networking and switch technologies and running our CUDA AI software stack make up the computing infrastructure of generative AI.  During the quarter, major cloud service providers announced massive NVIDIA H100 AI infrastructures. Leading enterprise IT system and software providers announced partnerships to bring NVIDIA AI to every industry. The race is on to adopt generative AI,” he said. During the second quarter of fiscal 2024, NVIDIA returned $3.38 billion to shareholders in the form of 7.5 million shares repurchased for $3.28 billion, and cash dividends. As of the end of the second quarter, the company had $3.95 billion remaining under its share repurchase authorization. On August 21, 2023, the Board of Directors approved an additional $25.00 billion in share repurchases, without expiration. NVIDIA plans to continue share repurchases this fiscal year.NVIDIA will pay its next quarterly cash dividend of $0.04 per share on September 28, 2023, to all shareholders of record on September 7, 2023.",Up 101%,101%
"NVIDIA Announces Financial Results for Second Quarter Fiscal 2024 August 23, 20231	Record revenue of $13.51 billion, up 88% from Q1, up 101% from year ago2	Record Data Center revenue of $10.32 billion, up 141% from Q1, up 171% from year agoNVIDIA (NASDAQ: NVDA) today reported revenue for the second quarter ended July 30, 2023, of $13.51 billion, up 101% from a year ago and up 88% from the previous quarter.GAAP earnings per diluted share for the quarter were $2.48, up 854% from a year ago and up 202% from the previous quarter. Non-GAAP earnings per diluted share were $2.70, up 429% from a year ago and up 148% from the previous quarter. A new computing era has begun. Companies worldwide are transitioning from general-purpose to accelerated computing and generative AI,” said Jensen Huang, founder and CEO of NVIDIA.  NVIDIA GPUs connected by our Mellanox networking and switch technologies and running our CUDA AI software stack make up the computing infrastructure of generative AI.  During the quarter, major cloud service providers announced massive NVIDIA H100 AI infrastructures. Leading enterprise IT system and software providers announced partnerships to bring NVIDIA AI to every industry. The race is on to adopt generative AI,” he said. During the second quarter of fiscal 2024, NVIDIA returned $3.38 billion to shareholders in the form of 7.5 million shares repurchased for $3.28 billion, and cash dividends. As of the end of the second quarter, the company had $3.95 billion remaining under its share repurchase authorization. On August 21, 2023, the Board of Directors approved an additional $25.00 billion in share repurchases, without expiration. NVIDIA plans to continue share repurchases this fiscal year.NVIDIA will pay its next quarterly cash dividend of $0.04 per share on September 28, 2023, to all shareholders of record on September 7, 2023.",$13.51 billion,$13.51 billion
"NVIDIA Announces Financial Results for Second Quarter Fiscal 2024 August 23, 20231	Record revenue of $13.51 billion, up 88% from Q1, up 101% from year ago2	Record Data Center revenue of $10.32 billion, up 141% from Q1, up 171% from year agoNVIDIA (NASDAQ: NVDA) today reported revenue for the second quarter ended July 30, 2023, of $13.51 billion, up 101% from a year ago and up 88% from the previous quarter.GAAP earnings per diluted share for the quarter were $2.48, up 854% from a year ago and up 202% from the previous quarter. Non-GAAP earnings per diluted share were $2.70, up 429% from a year ago and up 148% from the previous quarter. A new computing era has begun. Companies worldwide are transitioning from general-purpose to accelerated computing and generative AI,” said Jensen Huang, founder and CEO of NVIDIA.  NVIDIA GPUs connected by our Mellanox networking and switch technologies and running our CUDA AI software stack make up the computing infrastructure of generative AI.  During the quarter, major cloud service providers announced massive NVIDIA H100 AI infrastructures. Leading enterprise IT system and software providers announced partnerships to bring NVIDIA AI to every industry. The race is on to adopt generative AI,” he said. During the second quarter of fiscal 2024, NVIDIA returned $3.38 billion to shareholders in the form of 7.5 million shares repurchased for $3.28 billion, and cash dividends. As of the end of the second quarter, the company had $3.95 billion remaining under its share repurchase authorization. On August 21, 2023, the Board of Directors approved an additional $25.00 billion in share repurchases, without expiration. NVIDIA plans to continue share repurchases this fiscal year.NVIDIA will pay its next quarterly cash dividend of $0.04 per share on September 28, 2023, to all shareholders of record on September 7, 2023.",7.5 million shares,7.5 million
"NVIDIA Announces Financial Results for Second Quarter Fiscal 2024 August 23, 20231	Record revenue of $13.51 billion, up 88% from Q1, up 101% from year ago2	Record Data Center revenue of $10.32 billion, up 141% from Q1, up 171% from year agoNVIDIA (NASDAQ: NVDA) today reported revenue for the second quarter ended July 30, 2023, of $13.51 billion, up 101% from a year ago and up 88% from the previous quarter.GAAP earnings per diluted share for the quarter were $2.48, up 854% from a year ago and up 202% from the previous quarter. Non-GAAP earnings per diluted share were $2.70, up 429% from a year ago and up 148% from the previous quarter. A new computing era has begun. Companies worldwide are transitioning from general-purpose to accelerated computing and generative AI,” said Jensen Huang, founder and CEO of NVIDIA.  NVIDIA GPUs connected by our Mellanox networking and switch technologies and running our CUDA AI software stack make up the computing infrastructure of generative AI.  During the quarter, major cloud service providers announced massive NVIDIA H100 AI infrastructures. Leading enterprise IT system and software providers announced partnerships to bring NVIDIA AI to every industry. The race is on to adopt generative AI,” he said. During the second quarter of fiscal 2024, NVIDIA returned $3.38 billion to shareholders in the form of 7.5 million shares repurchased for $3.28 billion, and cash dividends. As of the end of the second quarter, the company had $3.95 billion remaining under its share repurchase authorization. On August 21, 2023, the Board of Directors approved an additional $25.00 billion in share repurchases, without expiration. NVIDIA plans to continue share repurchases this fiscal year.NVIDIA will pay its next quarterly cash dividend of $0.04 per share on September 28, 2023, to all shareholders of record on September 7, 2023.",Jensen Huang,Jensen Huang
"NVIDIA Announces Financial Results for Second Quarter Fiscal 2024 August 23, 20231	Record revenue of $13.51 billion, up 88% from Q1, up 101% from year ago2	Record Data Center revenue of $10.32 billion, up 141% from Q1, up 171% from year agoNVIDIA (NASDAQ: NVDA) today reported revenue for the second quarter ended July 30, 2023, of $13.51 billion, up 101% from a year ago and up 88% from the previous quarter.GAAP earnings per diluted share for the quarter were $2.48, up 854% from a year ago and up 202% from the previous quarter. Non-GAAP earnings per diluted share were $2.70, up 429% from a year ago and up 148% from the previous quarter. A new computing era has begun. Companies worldwide are transitioning from general-purpose to accelerated computing and generative AI,” said Jensen Huang, founder and CEO of NVIDIA.  NVIDIA GPUs connected by our Mellanox networking and switch technologies and running our CUDA AI software stack make up the computing infrastructure of generative AI.  During the quarter, major cloud service providers announced massive NVIDIA H100 AI infrastructures. Leading enterprise IT system and software providers announced partnerships to bring NVIDIA AI to every industry. The race is on to adopt generative AI,” he said. During the second quarter of fiscal 2024, NVIDIA returned $3.38 billion to shareholders in the form of 7.5 million shares repurchased for $3.28 billion, and cash dividends. As of the end of the second quarter, the company had $3.95 billion remaining under its share repurchase authorization. On August 21, 2023, the Board of Directors approved an additional $25.00 billion in share repurchases, without expiration. NVIDIA plans to continue share repurchases this fiscal year.NVIDIA will pay its next quarterly cash dividend of $0.04 per share on September 28, 2023, to all shareholders of record on September 7, 2023.",Up 141% from Q1,141%
"NVIDIA Announces Financial Results for Second Quarter Fiscal 2024 August 23, 20231	Record revenue of $13.51 billion, up 88% from Q1, up 101% from year ago2	Record Data Center revenue of $10.32 billion, up 141% from Q1, up 171% from year agoNVIDIA (NASDAQ: NVDA) today reported revenue for the second quarter ended July 30, 2023, of $13.51 billion, up 101% from a year ago and up 88% from the previous quarter.GAAP earnings per diluted share for the quarter were $2.48, up 854% from a year ago and up 202% from the previous quarter. Non-GAAP earnings per diluted share were $2.70, up 429% from a year ago and up 148% from the previous quarter. A new computing era has begun. Companies worldwide are transitioning from general-purpose to accelerated computing and generative AI,” said Jensen Huang, founder and CEO of NVIDIA.  NVIDIA GPUs connected by our Mellanox networking and switch technologies and running our CUDA AI software stack make up the computing infrastructure of generative AI.  During the quarter, major cloud service providers announced massive NVIDIA H100 AI infrastructures. Leading enterprise IT system and software providers announced partnerships to bring NVIDIA AI to every industry. The race is on to adopt generative AI,” he said. During the second quarter of fiscal 2024, NVIDIA returned $3.38 billion to shareholders in the form of 7.5 million shares repurchased for $3.28 billion, and cash dividends. As of the end of the second quarter, the company had $3.95 billion remaining under its share repurchase authorization. On August 21, 2023, the Board of Directors approved an additional $25.00 billion in share repurchases, without expiration. NVIDIA plans to continue share repurchases this fiscal year.NVIDIA will pay its next quarterly cash dividend of $0.04 per share on September 28, 2023, to all shareholders of record on September 7, 2023.",$2.48,$2.48
"NVIDIA Announces Financial Results for Second Quarter Fiscal 2024 August 23, 20231	Record revenue of $13.51 billion, up 88% from Q1, up 101% from year ago2	Record Data Center revenue of $10.32 billion, up 141% from Q1, up 171% from year agoNVIDIA (NASDAQ: NVDA) today reported revenue for the second quarter ended July 30, 2023, of $13.51 billion, up 101% from a year ago and up 88% from the previous quarter.GAAP earnings per diluted share for the quarter were $2.48, up 854% from a year ago and up 202% from the previous quarter. Non-GAAP earnings per diluted share were $2.70, up 429% from a year ago and up 148% from the previous quarter. A new computing era has begun. Companies worldwide are transitioning from general-purpose to accelerated computing and generative AI,” said Jensen Huang, founder and CEO of NVIDIA.  NVIDIA GPUs connected by our Mellanox networking and switch technologies and running our CUDA AI software stack make up the computing infrastructure of generative AI.  During the quarter, major cloud service providers announced massive NVIDIA H100 AI infrastructures. Leading enterprise IT system and software providers announced partnerships to bring NVIDIA AI to every industry. The race is on to adopt generative AI,” he said. During the second quarter of fiscal 2024, NVIDIA returned $3.38 billion to shareholders in the form of 7.5 million shares repurchased for $3.28 billion, and cash dividends. As of the end of the second quarter, the company had $3.95 billion remaining under its share repurchase authorization. On August 21, 2023, the Board of Directors approved an additional $25.00 billion in share repurchases, without expiration. NVIDIA plans to continue share repurchases this fiscal year.NVIDIA will pay its next quarterly cash dividend of $0.04 per share on September 28, 2023, to all shareholders of record on September 7, 2023.","September 28, 2023","September 28, 2023"
"NVIDIA Announces Financial Results for Second Quarter Fiscal 2024 August 23, 20231	Record revenue of $13.51 billion, up 88% from Q1, up 101% from year ago2	Record Data Center revenue of $10.32 billion, up 141% from Q1, up 171% from year agoNVIDIA (NASDAQ: NVDA) today reported revenue for the second quarter ended July 30, 2023, of $13.51 billion, up 101% from a year ago and up 88% from the previous quarter.GAAP earnings per diluted share for the quarter were $2.48, up 854% from a year ago and up 202% from the previous quarter. Non-GAAP earnings per diluted share were $2.70, up 429% from a year ago and up 148% from the previous quarter. A new computing era has begun. Companies worldwide are transitioning from general-purpose to accelerated computing and generative AI,” said Jensen Huang, founder and CEO of NVIDIA.  NVIDIA GPUs connected by our Mellanox networking and switch technologies and running our CUDA AI software stack make up the computing infrastructure of generative AI.  During the quarter, major cloud service providers announced massive NVIDIA H100 AI infrastructures. Leading enterprise IT system and software providers announced partnerships to bring NVIDIA AI to every industry. The race is on to adopt generative AI,” he said. During the second quarter of fiscal 2024, NVIDIA returned $3.38 billion to shareholders in the form of 7.5 million shares repurchased for $3.28 billion, and cash dividends. As of the end of the second quarter, the company had $3.95 billion remaining under its share repurchase authorization. On August 21, 2023, the Board of Directors approved an additional $25.00 billion in share repurchases, without expiration. NVIDIA plans to continue share repurchases this fiscal year.NVIDIA will pay its next quarterly cash dividend of $0.04 per share on September 28, 2023, to all shareholders of record on September 7, 2023.",Up 148%,148%
"Outlook NVIDIA’s outlook for the third quarter of fiscal 2024 is as follows:Revenue is expected to be $16.00 billion, plus or minus 2%. GAAP and non-GAAP gross margins are expected to be 71.5% and 72.5%, respectively, plus or minus 50 basis points.  GAAP and non-GAAP operating expenses are expected to be approximately $2.95 billion and $2.00 billion, respectively.  GAAP and non-GAAP other income and expense are expected to be an income of approximately $100 million, excluding gains and losses from non-affiliated investments. GAAP and non-GAAP tax rates are expected to be 14.5%, plus or minus 1%, excluding any discrete items.Highlights NVIDIA achieved progress since its previous earnings announcement in these areas:  Data Center Second-quarter revenue was a record $10.32 billion, up 141% from the previous quarter and up 171% from a year ago. Announced that the NVIDIA® GH200 Grace™ Hopper™ Superchip for complex AI and HPC workloads is shipping this quarter, with a second-generation version with HBM3e memory expected to ship in Q2 of calendar 2024. ","Yes, between 71.5% and 72.%",Yes
"Outlook NVIDIA’s outlook for the third quarter of fiscal 2024 is as follows:Revenue is expected to be $16.00 billion, plus or minus 2%. GAAP and non-GAAP gross margins are expected to be 71.5% and 72.5%, respectively, plus or minus 50 basis points.  GAAP and non-GAAP operating expenses are expected to be approximately $2.95 billion and $2.00 billion, respectively.  GAAP and non-GAAP other income and expense are expected to be an income of approximately $100 million, excluding gains and losses from non-affiliated investments. GAAP and non-GAAP tax rates are expected to be 14.5%, plus or minus 1%, excluding any discrete items.Highlights NVIDIA achieved progress since its previous earnings announcement in these areas:  Data Center Second-quarter revenue was a record $10.32 billion, up 141% from the previous quarter and up 171% from a year ago. Announced that the NVIDIA® GH200 Grace™ Hopper™ Superchip for complex AI and HPC workloads is shipping this quarter, with a second-generation version with HBM3e memory expected to ship in Q2 of calendar 2024. ","$16.00 billion, plus or minus 2%.",$16.00 billion
"Outlook NVIDIA’s outlook for the third quarter of fiscal 2024 is as follows:Revenue is expected to be $16.00 billion, plus or minus 2%. GAAP and non-GAAP gross margins are expected to be 71.5% and 72.5%, respectively, plus or minus 50 basis points.  GAAP and non-GAAP operating expenses are expected to be approximately $2.95 billion and $2.00 billion, respectively.  GAAP and non-GAAP other income and expense are expected to be an income of approximately $100 million, excluding gains and losses from non-affiliated investments. GAAP and non-GAAP tax rates are expected to be 14.5%, plus or minus 1%, excluding any discrete items.Highlights NVIDIA achieved progress since its previous earnings announcement in these areas:  Data Center Second-quarter revenue was a record $10.32 billion, up 141% from the previous quarter and up 171% from a year ago. Announced that the NVIDIA® GH200 Grace™ Hopper™ Superchip for complex AI and HPC workloads is shipping this quarter, with a second-generation version with HBM3e memory expected to ship in Q2 of calendar 2024. ",NVIDIA GH200 Grace Hopper Superchip,NVIDIA® GH200 Grace™ Hopper™ Superchip
"Outlook NVIDIA’s outlook for the third quarter of fiscal 2024 is as follows:Revenue is expected to be $16.00 billion, plus or minus 2%. GAAP and non-GAAP gross margins are expected to be 71.5% and 72.5%, respectively, plus or minus 50 basis points.  GAAP and non-GAAP operating expenses are expected to be approximately $2.95 billion and $2.00 billion, respectively.  GAAP and non-GAAP other income and expense are expected to be an income of approximately $100 million, excluding gains and losses from non-affiliated investments. GAAP and non-GAAP tax rates are expected to be 14.5%, plus or minus 1%, excluding any discrete items.Highlights NVIDIA achieved progress since its previous earnings announcement in these areas:  Data Center Second-quarter revenue was a record $10.32 billion, up 141% from the previous quarter and up 171% from a year ago. Announced that the NVIDIA® GH200 Grace™ Hopper™ Superchip for complex AI and HPC workloads is shipping this quarter, with a second-generation version with HBM3e memory expected to ship in Q2 of calendar 2024. ","14.5%, plus or minor 1%",14.5%
"Outlook NVIDIA’s outlook for the third quarter of fiscal 2024 is as follows:Revenue is expected to be $16.00 billion, plus or minus 2%. GAAP and non-GAAP gross margins are expected to be 71.5% and 72.5%, respectively, plus or minus 50 basis points.  GAAP and non-GAAP operating expenses are expected to be approximately $2.95 billion and $2.00 billion, respectively.  GAAP and non-GAAP other income and expense are expected to be an income of approximately $100 million, excluding gains and losses from non-affiliated investments. GAAP and non-GAAP tax rates are expected to be 14.5%, plus or minus 1%, excluding any discrete items.Highlights NVIDIA achieved progress since its previous earnings announcement in these areas:  Data Center Second-quarter revenue was a record $10.32 billion, up 141% from the previous quarter and up 171% from a year ago. Announced that the NVIDIA® GH200 Grace™ Hopper™ Superchip for complex AI and HPC workloads is shipping this quarter, with a second-generation version with HBM3e memory expected to ship in Q2 of calendar 2024. ",$2.00 billion,$2.00 billion
"Outlook NVIDIA’s outlook for the third quarter of fiscal 2024 is as follows:Revenue is expected to be $16.00 billion, plus or minus 2%. GAAP and non-GAAP gross margins are expected to be 71.5% and 72.5%, respectively, plus or minus 50 basis points.  GAAP and non-GAAP operating expenses are expected to be approximately $2.95 billion and $2.00 billion, respectively.  GAAP and non-GAAP other income and expense are expected to be an income of approximately $100 million, excluding gains and losses from non-affiliated investments. GAAP and non-GAAP tax rates are expected to be 14.5%, plus or minus 1%, excluding any discrete items.Highlights NVIDIA achieved progress since its previous earnings announcement in these areas:  Data Center Second-quarter revenue was a record $10.32 billion, up 141% from the previous quarter and up 171% from a year ago. Announced that the NVIDIA® GH200 Grace™ Hopper™ Superchip for complex AI and HPC workloads is shipping this quarter, with a second-generation version with HBM3e memory expected to ship in Q2 of calendar 2024. ",$2.95 billion,$2.95 billion
"Gaming Second-quarter revenue was $2.49 billion, up 11% from the previous quarter and up 22% from a year ago. Began shipping the GeForce RTX™ 4060 family of GPUs, bringing to gamers NVIDIA Ada Lovelace architecture and DLSS, starting at $299.Announced NVIDIA Avatar Cloud Engine, or ACE, for Games, a custom AI model foundry service using AI-powered natural language interactions to transform games by bringing intelligence to non-playable characters. Added 35 DLSS games, including Diablo IV, Ratchet & Clank: Rift Apart, Baldur’s Gate 3 and F1 23, as well as Portal: Prelude RTX, a path-traced game made by the community using NVIDIA’s RTX Remix creator tool.Professional Visualization Second-quarter revenue was $379 million, up 28% from the previous quarter and down 24% from a year ago.  Announced three new desktop workstation RTX GPUs based on the Ada Lovelace architecture — NVIDIA RTX 5000, RTX 4500 and RTX 4000 — to deliver the latest AI, graphics and real-time rendering, which are shipping this quarter. Announced a major release of the NVIDIA Omniverse platform, with new foundation applications and services for developers and industrial enterprises to optimize and enhance their 3D pipelines with OpenUSD and generative AI.  Joined with Pixar, Adobe, Apple and Autodesk to form the Alliance for OpenUSD to promote the standardization, development, evolution and growth of Universal Scene Description technology.",$2.49 billion,$2.49 billion
"Gaming Second-quarter revenue was $2.49 billion, up 11% from the previous quarter and up 22% from a year ago. Began shipping the GeForce RTX™ 4060 family of GPUs, bringing to gamers NVIDIA Ada Lovelace architecture and DLSS, starting at $299.Announced NVIDIA Avatar Cloud Engine, or ACE, for Games, a custom AI model foundry service using AI-powered natural language interactions to transform games by bringing intelligence to non-playable characters. Added 35 DLSS games, including Diablo IV, Ratchet & Clank: Rift Apart, Baldur’s Gate 3 and F1 23, as well as Portal: Prelude RTX, a path-traced game made by the community using NVIDIA’s RTX Remix creator tool.Professional Visualization Second-quarter revenue was $379 million, up 28% from the previous quarter and down 24% from a year ago.  Announced three new desktop workstation RTX GPUs based on the Ada Lovelace architecture — NVIDIA RTX 5000, RTX 4500 and RTX 4000 — to deliver the latest AI, graphics and real-time rendering, which are shipping this quarter. Announced a major release of the NVIDIA Omniverse platform, with new foundation applications and services for developers and industrial enterprises to optimize and enhance their 3D pipelines with OpenUSD and generative AI.  Joined with Pixar, Adobe, Apple and Autodesk to form the Alliance for OpenUSD to promote the standardization, development, evolution and growth of Universal Scene Description technology.",$379 million,$379 million
"Gaming Second-quarter revenue was $2.49 billion, up 11% from the previous quarter and up 22% from a year ago. Began shipping the GeForce RTX™ 4060 family of GPUs, bringing to gamers NVIDIA Ada Lovelace architecture and DLSS, starting at $299.Announced NVIDIA Avatar Cloud Engine, or ACE, for Games, a custom AI model foundry service using AI-powered natural language interactions to transform games by bringing intelligence to non-playable characters. Added 35 DLSS games, including Diablo IV, Ratchet & Clank: Rift Apart, Baldur’s Gate 3 and F1 23, as well as Portal: Prelude RTX, a path-traced game made by the community using NVIDIA’s RTX Remix creator tool.Professional Visualization Second-quarter revenue was $379 million, up 28% from the previous quarter and down 24% from a year ago.  Announced three new desktop workstation RTX GPUs based on the Ada Lovelace architecture — NVIDIA RTX 5000, RTX 4500 and RTX 4000 — to deliver the latest AI, graphics and real-time rendering, which are shipping this quarter. Announced a major release of the NVIDIA Omniverse platform, with new foundation applications and services for developers and industrial enterprises to optimize and enhance their 3D pipelines with OpenUSD and generative AI.  Joined with Pixar, Adobe, Apple and Autodesk to form the Alliance for OpenUSD to promote the standardization, development, evolution and growth of Universal Scene Description technology.",Up 28%,28%
"Gaming Second-quarter revenue was $2.49 billion, up 11% from the previous quarter and up 22% from a year ago. Began shipping the GeForce RTX™ 4060 family of GPUs, bringing to gamers NVIDIA Ada Lovelace architecture and DLSS, starting at $299.Announced NVIDIA Avatar Cloud Engine, or ACE, for Games, a custom AI model foundry service using AI-powered natural language interactions to transform games by bringing intelligence to non-playable characters. Added 35 DLSS games, including Diablo IV, Ratchet & Clank: Rift Apart, Baldur’s Gate 3 and F1 23, as well as Portal: Prelude RTX, a path-traced game made by the community using NVIDIA’s RTX Remix creator tool.Professional Visualization Second-quarter revenue was $379 million, up 28% from the previous quarter and down 24% from a year ago.  Announced three new desktop workstation RTX GPUs based on the Ada Lovelace architecture — NVIDIA RTX 5000, RTX 4500 and RTX 4000 — to deliver the latest AI, graphics and real-time rendering, which are shipping this quarter. Announced a major release of the NVIDIA Omniverse platform, with new foundation applications and services for developers and industrial enterprises to optimize and enhance their 3D pipelines with OpenUSD and generative AI.  Joined with Pixar, Adobe, Apple and Autodesk to form the Alliance for OpenUSD to promote the standardization, development, evolution and growth of Universal Scene Description technology.","Pixar, Adobe, Apple, Autodesk and NVIDIA","Pixar, Adobe, Apple, and Autodesk"
"Gaming Second-quarter revenue was $2.49 billion, up 11% from the previous quarter and up 22% from a year ago. Began shipping the GeForce RTX™ 4060 family of GPUs, bringing to gamers NVIDIA Ada Lovelace architecture and DLSS, starting at $299.Announced NVIDIA Avatar Cloud Engine, or ACE, for Games, a custom AI model foundry service using AI-powered natural language interactions to transform games by bringing intelligence to non-playable characters. Added 35 DLSS games, including Diablo IV, Ratchet & Clank: Rift Apart, Baldur’s Gate 3 and F1 23, as well as Portal: Prelude RTX, a path-traced game made by the community using NVIDIA’s RTX Remix creator tool.Professional Visualization Second-quarter revenue was $379 million, up 28% from the previous quarter and down 24% from a year ago.  Announced three new desktop workstation RTX GPUs based on the Ada Lovelace architecture — NVIDIA RTX 5000, RTX 4500 and RTX 4000 — to deliver the latest AI, graphics and real-time rendering, which are shipping this quarter. Announced a major release of the NVIDIA Omniverse platform, with new foundation applications and services for developers and industrial enterprises to optimize and enhance their 3D pipelines with OpenUSD and generative AI.  Joined with Pixar, Adobe, Apple and Autodesk to form the Alliance for OpenUSD to promote the standardization, development, evolution and growth of Universal Scene Description technology.",35,35
"Gaming Second-quarter revenue was $2.49 billion, up 11% from the previous quarter and up 22% from a year ago. Began shipping the GeForce RTX™ 4060 family of GPUs, bringing to gamers NVIDIA Ada Lovelace architecture and DLSS, starting at $299.Announced NVIDIA Avatar Cloud Engine, or ACE, for Games, a custom AI model foundry service using AI-powered natural language interactions to transform games by bringing intelligence to non-playable characters. Added 35 DLSS games, including Diablo IV, Ratchet & Clank: Rift Apart, Baldur’s Gate 3 and F1 23, as well as Portal: Prelude RTX, a path-traced game made by the community using NVIDIA’s RTX Remix creator tool.Professional Visualization Second-quarter revenue was $379 million, up 28% from the previous quarter and down 24% from a year ago.  Announced three new desktop workstation RTX GPUs based on the Ada Lovelace architecture — NVIDIA RTX 5000, RTX 4500 and RTX 4000 — to deliver the latest AI, graphics and real-time rendering, which are shipping this quarter. Announced a major release of the NVIDIA Omniverse platform, with new foundation applications and services for developers and industrial enterprises to optimize and enhance their 3D pipelines with OpenUSD and generative AI.  Joined with Pixar, Adobe, Apple and Autodesk to form the Alliance for OpenUSD to promote the standardization, development, evolution and growth of Universal Scene Description technology.",$299,$299
"Automotive Second-quarter revenue was $253 million, down 15% from the previous quarter and up 15% from a year ago. Announced that NVIDIA DRIVE Orin™ is powering the new XPENG G6 Coupe SUV’s intelligent advanced driver assistance system. Partnered with MediaTek, which will develop mainstream automotive systems on chips for global OEMs, which integrate new NVIDIA GPU chiplet IP for AI and graphics.",MediaTek,MediaTek
"Stock futures edged lower on Thursday morning as Wall Street prepared for a speech from the top Federal Reserve official and pored through the latest quarterly earnings reports. Futures tied to the Dow Jones Industrial Average slipped 73 points, or 0.2%. S&P 500 and Nasdaq-100 futures dipped 0.2% and 0.1%, respectively.  Electric vehicle juggernaut Tesla slid 4% after the company missed expectations on earnings and revenue in the third quarter. CEO Elon Musk also warned that the company’s Cybertruck will not produce much positive cash flow more than a year after production starts. Netflix shares, meanwhile popped 13% after the streaming giant posted third-quarter earnings that beat estimates. The company got a boost from strong ad-tier subscriptions.Wall Street is coming off a steep sell-off, as Treasury yields surged to multiyear highs. The yield on the 10-year Treasury topped 4.9%, touching its highest level in 16 years. In turn, the S&P 500 tumbled 1.3%, while the 30-stock Dow shed more than 330 points, or 0.98%. The Nasdaq Composite was the underperformer, off 1.6%. Interest rates will be back in focus Thursday as traders look ahead to a key speech at noon ET from Federal Reserve Chair Jerome Powell. Even as inflation numbers have been showing signs of improvement, Treasury yields’ continued climb is raising questions on how the central bank may proceed on monetary policy. Other economic data on deck include weekly jobless claims and existing home sales for September. A slate of regional banks will report quarterly results Thursday, including KeyCorp, Fifth Third and Truist Financial. American Airlines, Union Pacific and CSX are also slated to post earnings.— CNBC’s Jeff Cox contributed to this story.  Correction: LSEG is formerly known as Refinitiv. An earlier version misstated the company’s previous name.",Refinitiv,Refinitiv
