example,label
"Buyer: how many bed rooms Seller: 3 bedrooms  Buyer: where is it located Seller: newhall park and turtle creek rd  Buyer: how many baths Seller: 2.5 .. the master has its own bath ... the main restroom has his/her sinks   Buyer: would you take 2200 Seller: 2800.00 is an extremely fair price for both the house and the area.  I think 2200.00 is not comparable to the comfort this house will provide your family  Buyer: right now all i can do 2300 with 500 depost Seller: I understand. thank you for hour interest.  Buyer: ok 2500 Seller: the best I can do is 2700.00 and an equal deposit.  Buyer: ok 2700 Seller: with a 2700.00 deposit, correct?  Buyer: yes Seller: perfect. i'll send you the lease agreement.  Buyer: thank you Buyer:  Seller: ",housing
Seller: Hey there are you looking to purchase my Speck Products Candyshell Inked Case for iPhone 6? Its frosted and floral printed. Buyer: Yes. What color is it?,phone
"Buyer: Hello, I am interested in your Heritage Park listing.  Seller: Hello. Great choice! They are amazing Buyer: I see you are asking $1979, Would you be willing to work a deal out? I am looking in the price range of 1300-1400. I could perhaps help out with maintenance tasks, or keeping up on the grounds? Seller: We could work a deal. I will have to say $1400 due to all the amazing amities it comes with.  Buyer: I could do $1400. When may I come sign my lease.  Buyer:  Seller: I will be here from 9am-2pm tomorrow. You may come anytime then. I will have everything ready for you.  Seller: ",housing
"Buyer: Hey there, I was intrested in your bike, but I have a few questions. Seller: I still have the bike, what do you want to know? Buyer: I was wondering how long you have had it, and the condition it is in Seller: I've only had it for 1 year and it's in excellent condition!  Buyer: That's good to hear. I am really interested, its a great price, but is there any way I could get you to come down a bit? maybe $1700? Seller: 1700 is too low for the quality of my bike! It's hardly seen any use and I've already dropped the price so much in my listing. Please reconsider. Buyer: As true as it is, I really cant go that high. could we agree upon something a little lower? maybe $2000? Seller: 2300 if you come to pick it up and I can agree let it go for that. Seller:  Buyer: Fair enough I suppose. Buyer: ",bike
Seller: 295?  I can meet you there in the middle Buyer: I would like to pay $125 Seller: What are you saying?  I'm buying and 125 is not anywhere near the price that we were negotiating..? Buyer: I'm the potential buyer. I'm wiling to negotiate though. Seller: Ugh I think the HIT glitched.  I was just negotiating with someone else as a buyer as well.  GG Seller: ,bike
"Buyer: Hello, I am interested in your couch. What condition is it in? Seller: This couch is in excellent condition.  It's super cute!!! Buyer: That's good. It certainly is beautiful. I can't afford to do 150 though. My budget is more around the $65 range. Seller: Ouch that is a  price cut. Would you be okay doing $100 is I brought it to you? Buyer: How about this. I can do 75 and throw in a $15 amazon gift card. Seller: Okay that will work for me! Buyer:  Seller: ",furniture
"Seller: Hi are you interesting in the phone listing? Buyer: is the phone ill for salest Seller: Yes, I've still got the phone available. Did you have any questions about it? Buyer: whats the screen size Seller: The s7 edge boasts a 5.5 inch screen which is in flawless condition. Most of this phones items are completely unopened. Buyer: does the phone have a warranty Seller: It comes with a 1 year warranty, yes. Buyer: i can offer you $80 Seller: I can't go that low unless you have a trade in. this is a 400 dollar phone. We could meet somewhere in the middle like 200? Buyer: if the phone is flawless i can give you an extra $100 that makes it$180 Seller: Yeah it's flawless. If you trade in your old phone with it I will do 180 Buyer: i can do that when can i pick it up. Seller: As soon as possible. You got yourself a deal! Seller:  Buyer: ",phone
"Seller: Hi.  How are you? Buyer: Hi, I'm interested in your bike. Is it ready to ride and fully functional? Seller: Yes!  It is in great condition.  Cleaned up and ready to go.  Tires and brakes are in great condition and is very light to ride.  I have had no trouble with it at all.  Just looking to get a newer one!  I am throwing in a free speedometer and bottle holder too. Buyer: That sounds like a great deal, but I don't have the 225$ you're asking. Would you be willing to go down to 175$ if I picked it up from you today with cash in hand? Seller: $175 is too low. I could do $190.  It is in excellent shape and needs nothing at all. Buyer: 190 is a fair price. You have a deal.  Buyer:  Seller: ",bike
"Buyer: I saw your ad and I was wondering if you could go any lower on your price?  Seller: The car is in very good condition, but I would be willing to go down a couple hundred dollars. Seller: ",car
"Buyer: What all does the phone already have on it? Seller: The phone is completely erased with no leftover data from the previous user. Buyer: I was hoping for music or something. Do you have the manual> Seller: There is a manual and there is iTunes leftover credit for $12, so you can buy some music with that. Buyer: Is the screen like new? Seller: Yes! No scratches. It currently has a screen protector on it, which you can chose to keep on or take off. Buyer: I could offer $230.00 Seller: I would sell for $300. Buyer: $250? Seller: $280 with headphones. Buyer: I could do $255 with the headphones. Seller: I would do $265 without the headphones or $280 with headphones. Buyer: I'll meet you half way at $260 with the headphones. Seller: Sure. Seller:  Buyer: ",phone
"Buyer: Hello are you still selling the intense spider? Seller: Yes.  Buyer: What kind of condition is it in? Seller: it is in mint condition. Bought it three months ago. Buyer: Okay are you willing to be flexible on the price? Seller: My asking price is 2850 Buyer: Would you be willing to sell it for $1,000? I've seen these heavily discounted recently. Seller: I wont go lower than 2500. Rarely ever used Buyer: Okay how about $1,400 cash and I trade in my old handlebars? Buyer: ",bike
"Seller: Hi. I see your interested in my car? Buyer: Hello, yes I may be interested in purchasing the car. Has it had regular maintenance? Seller: The transmission has been rebuilt. Has new parts. Everything is in perfect working condition. Buyer: Great. No mechanical issues? Seller: No issues at all. Buyer: When were the tires last replaced? Seller: Tires were just replaced and it has new wheels everything is good to go. Buyer: Sounds like it may be what I'm looking for. I have 6000 in cash I can give you today for it.  Seller: 6500 and I will bring the car to you right now. Buyer: Sounds like a good deal to me.  Buyer:  Seller: ",car
"Buyer: Hi is the mirror still available? Seller: Hi yes the mirror is still available.  It is beautiful and in great shape!  Buyer: So if I understand this correct, it is not to be a stand alone mirror it is techinically a part of something else that you do not have? Seller: It is a mirror that went with my dresser.  I no longer have the dresser because it was badly damaged in our recent move, but I did keep the mirror that went on top. Buyer: Ok that's what I thought just wanted to make sure.  I can give you $20 for it today. Seller: It is a beautiful piece with many uses.  $20 is a little lower than I would like to accept, how about $35 and I will deliver it to you if you are close by?",furniture
"Buyer: Hi I'm interested in this home and would like details. Seller: Hi how are you doing today? The full details are listed in the description, but I would like to add that this home was well loved, passed down from my parents. I grew up here & it is a very lovely home. Low maintenance, peaceful neighborhood and great neighbors!  Buyer: The house sounds great, but the list price is a lot higher than I'm willing to pay. Would you take 1700? Seller: Hmmm... This house already listed at a huge discount & also a very affordable value for all that is offered with this property.. I would be willing to drop the price as low as $2400 if that sounds more suitable for you?  Buyer: That's still a little high I think. I'd be willing to do $2200 if you take care of utilities. Seller: I think I can agree with those circumstances. So $2200 + utilities it is then? I would just like to confirm before starting my paperwork & removing the sign from the far corner or the yard. Thank you  Buyer: Yes we have a deal! Seller: Thank you, it's been a pleasure. I will start on the paperwork now to begin closing on our deal. Thanks again & have a great day!  Seller:  Buyer: ",housing
"Seller: hi, are you interested in this listing? Buyer: I am! Is it still up for sale? How long have you had it? Seller: i have had it for 3 years Buyer: Okay. If I picked it up would $200 seem fair? Seller: 200 is quite low but, if you can pick up i will go down to 350  Buyer: That works, I could do $350. Tomorrow @ 3? Seller: sounds good! Seller:  Buyer: ",furniture
"Seller: hello, are you thinking about buying a new couch? Buyer: I'm considering yours, it looks very nice and comfy! Seller: its very soft and has neutral colors, so it will go with just about any color scheme. its has throw pillows and removable cushion covers too, so its easy to wash and keep clean. i'm asking 430 Buyer: Can you tell me anything about the breakage on the right arm rest?  Seller: its fairly minor, it can be easily patched up. a couch like this would normally go for a well over 1000 new Buyer: How old is the couch? Furniture depreciates very quickly, you know.  Seller: its only a couple of years old, how much are you looking to spend? Buyer: I'm looking to spend about $200. Seller: that is far too low I'm afraid. I'd be willing to part with it for about $400, but only if you can arrange for the pickup Buyer: I can definitely do pick up, but I can really only go up to $250 for a used couch with a tear in it. Seller: that's still too low. look, because there is a tear in it, i'll even throw in a patching kit. give me $375, and its yours",furniture
Seller: HI. I see that you are interested in the Bike Buyer: Hello. Is the bike still available? Buyer: Yes I am. How old is the bike? Seller: It was made in 1973. It is a very classic bike.  Buyer: Thanks. I see you have it listed for $50. Would you accept $35? Seller: $35 seems a little low. How about I deliver the bike to you for $45? Buyer: I will pick it up from you if you sell for $43? Seller: Yea great! I can do $43. Seller:  Buyer: ,bike
"Seller: Hello! Buyer: Hi, I'm interested in your place, although I'm on a bit of a budget. Seller: It's a beautiful home, how much of a budget are you on? Buyer: The most I could offer you is $2050. Seller: That's really low from the listing price. How about $2500? Buyer: Things are really tight for me being a student, that really is about the most  I could handle. Could you go to $2200. Seller: Okay, I will $2200 Buyer: Great! Buyer:  Seller: ",housing
"Buyer: Wow, what a beautiful property. How long have you owned it? Seller: 2 years Buyer: Usually with houses, there are some issues that need to be repaired. Is there anything that still needs work? I can see you have done a ton of work to the house. Seller: no just got it done inside and out Buyer: I am relocating from Nebraska and am really interested in it so cannot see it in person before buying. Would you be willing to negotiate the price?  Seller: yes I would , what would you like to offer Buyer: Would you take $1400? That is at the top of my price range where I still feel comfortable about the move. Seller: if you can do 1450 I let you have it today Buyer: That would be perfect. Thank you so much!  Seller: sold Buyer:  Seller: ",housing
"Buyer: Hello I was looking to purchase your sub woofer. You are asking $20 correct? Seller: That is correct.  Buyer: I see it has no grill, It must be pretty used up. Would you do $14 cash if I came and picked it up tomorrow? Seller: It is in really great condition. I could do $16 for the speaker.  Buyer: Make it $15 and we got ourselves a deal. Buyer:  Seller: ",electronics
Seller: You have an interest in this unlocked LG G5> Buyer: Yes. What is the condition? Seller: I have only had it a couple of months and it is in mint condition Buyer: Great. Would you accept $198? Seller: If you can pick it up I can do that. Buyer: Sure. I'll pick it up. Seller: Perfect we have a deal Buyer: Great. Seller: You have to make the offer on the right. Buyer:  Seller: ,phone
"Buyer: Hi] Seller: Hello Buyer: Is this item in good condition? Seller: Yes, it has barely been used at all. It did not fit my case well so I opted for another model. Buyer: Are you willing to come down a bit on the price? Seller: I'm open to an offer, sure! Buyer: Would you be willing to let me buy it for 30 dollars? Seller: If you can arrange to pick it up so there isn't any shipping associated with it I can agree to that. Buyer: I can do that. So is 30 dollars a deal? Seller: Deal. Seller:  Buyer: Good doing business with you. Buyer: ",phone
"Buyer: Hello I can give you 237 for it  Seller: I'm not sure I can take $237.  The asking price is $395.  I'd be willing to go down to $330 Buyer: ok how about 300 ? Seller: Sure, $300 sounds good if you can come pick it up on Wednesday with cash in hand Buyer: I will be there with cash and thanks for working with me Seller: thanks! Seller:  Buyer: ",furniture
"Buyer: i need a apartment but cant aford the price Seller: Well, what can you afford? Buyer: what the apartment near Seller: It is near the BART. 2 minutes from Berkley and close to tons of shops and restaurants. Buyer: what the price range Seller: It rents for $1915, but I would be willing to less if you take it unfurnished. Buyer: whats the unfirished price Seller: 1700 Buyer: cool that's in my budget of $1761 Seller:  Buyer: when can i com see it Seller: I can do a viewing at 7pm tonight Buyer: okay that works for me see you then thanks Buyer: ",housing
"Buyer: Hello there, are you still selling the bike? Seller: Yes I am, Listing it for $250 Buyer: What sort of condition is the bike in? How long have you had it? Seller: It's in excellent condition, ""like new"", it has been kept indoors and out of the weather so the original paint is still beautiful. I've had it for the recent summer so only 2 months, I'm moving so I have to let it go. ",bike
"Seller: Do you like my remote? Buyer: Hi I am interested in this item  Seller: It is very new and no issues with it, 80 watts per channel and surround sound etc. Buyer: thats good. Are you willing to negotiate with the price. Its over budget for me Seller: I am asking $100 but I could go to $80 if you come pick it up. Buyer: does $70 work for you please? I am willing to come pick it up and give you the money right away Seller: Ok I guess I can go a little lower.. Please pick it up today. Seller:  Buyer: I will do so! Thank you so much! Buyer: ",electronics
"Buyer: I am interested in the Infinity Seller: Sounds good, let's negotiate.  Everything is fully working on this car and the sticker price is $15,000.00 Buyer: I would like to ofeer 8500 Seller: Unfortunately that is lower than I can work with.  This has been a lightly used car and everything is in proper working order.  You'll have to do better than that. Buyer: Last offer of 9000 or I walk Seller: I can do $9800, but if $9000 is your low, then I don't think we can make a deal. Buyer:  Seller: ",car
"Seller: Hi are you interested in the apartment? Buyer: Yes I am. I just moved here from Chicago. I am presently staying in an Airbnb. Tell me more about the location please? Seller: Welcome to San Fransico! The property is outstanding and located in a very safe, quiet area of town. It's recently been remodeled and comes fully furnished. Buyer: Thanks so much. It's so hot here though. Does the room come with and air conditioning unit? Seller: Haha the heat does suck here but yes the apartment has a working ac unit. Do you have anymore questions? Buyer: I can pay $990 and sign a 6 month lease immediately.  Seller: Ok perfect, you can come into from 9-5 monday through friday. Ask for Kathy and she'll take care of you. Seller:  Buyer: ",housing
"Buyer: Hi, I am interested in your car Seller: Iy is a great car even for it's age. Do you have any questions about it? Buyer: That is a lot of miles and an old car, would you be willing to drop your price to $2500 Seller: I can't go down that far. It is a Honda after all and they tend to hold a lot of value even when they are old. I would be willing to give you a 2 month warranty on it though to ease your mind.  Buyer: How low are you willing to go? Seller: I can go as low as $3500.  Buyer: my high was at about $3000.  I tell you what lets meet in the middle at $3250 and I will pick it up today. Seller: that sounds reasonable to me.  Buyer:  Buyer: great Seller: ",car
"Seller: Hi. This is a great unit, that's already completely furnished. Buyer: Hello, I am interested in your property. Based on the comps in the area I would be willing to pay 1,750 Seller: 1750 is way lower than I'm willing to go. This place has a ton of amenities and in the city. Buyer: Other units in the area are going for around 2,000. Would that be acceptable. Seller: I'm sorry, it just wouldnt be.  The apartment is furnished and comes with a parking space.  3200? Buyer: $2,100 would be my final offer unless you are able to include all utilites and cable. Seller: I'm sorry, but no. This is a high end apartment. 3000 is as low as I'm willing to go. Seller:  Buyer: ",housing
"Buyer: Hello. I am interested in your Tile Mate Item tracker. Will you sell it for $8? Seller: I'm sorry I paid $50 for it, so $20 seems very reasonable to me.  I will go a bit lower.  Can you pay $18? Buyer: The max I can offer you is $10. I cannot go higher than that. Seller: I really cannot go lower than $15.  I can take $15 plus something else you can give me to sell.  Do you have anything to give? Buyer: ",electronics
"Buyer: I just saw your ad, I'd be willing to offer $65 Seller: Hi, please make me an offer. Buyer: $65 Seller: How about 67? Buyer: I'll do $67 Buyer:  Seller: we have a deal Seller: ",electronics
"Seller: Hi! Buyer: Hello. Seller: I am selling this car in very good condition. Are you interested in buying it? Buyer: How many miles are on it?  Seller: There are 115 thousand miles, but the car runs like new! Buyer: So no mechanical problems?  Seller: Nothing what so ever! Buyer: Okay, I would like to offer $3400, cash today. Seller:  $3550 and you have a deal my friend! Buyer: $3500 Seller: Ok that is just fine! Seller:  Buyer: ",car
"Buyer: Hello Seller: Hello. Are you interested in my car? Buyer: Yes I am. How many miles are on it and is it in good condition? Seller: There are only 29k miles. I'm the original owner and it has been well taken care of.  Buyer: Excellent. Can you lower the price at all? I do not want to pay the full price you are asking. Seller: Well, I could yea. The car's maintanance has always been handled by my Chrysler dealer and it is freshly detailed so I don't want to go much lower.  Buyer: Okay. How does 9000 sound? Seller: Woah. That's too low for what the cars worth. What about 13000? Buyer: 12000? That could work for me Seller: It's a good deal and a good car Seller:  Buyer: ",car
Buyer: how much are yyou willing to let it go for? Seller: Pick it up for $125. Buyer: ill pick it up for 105  Buyer:  Seller: ,furniture
"Buyer: Hello, I am interested in your bike. What condition is it in? Seller: It is in excellent condition. Only used for 50 miles. Seller: It is in excellent condition. Only used for 50 miles.",bike
"Buyer: helllo Seller: Hi there looking to buy? Buyer: yes very interested in your kickcer vr subs Seller: Great, i am asking $165 Buyer: can you tell me more about it? Seller: They are factory ported enclosed and wired at one ohm. they have a very loud sound, optimal performance Buyer: how about $125 Seller: I put in the ad the price is firm at $165, that is already a steal Buyer: I understand this but I can Buyer:  Seller: I am firm , sorry have to go by my ad Seller: ",electronics
"Buyer: Is the unit still available? Seller: Yes, the unit is still available. I have 2 others interested in this unit.  Buyer: Yeah I can imagine. The location is great! Its very spacious too. Is there any deposit needed if we finalize the deal? Seller: Deposit is dependent on credit review. Good credit would only require a pet deposit of $150 Buyer: okay that sounds fair. Would you accept $1457? Seller: This apartment is priced for the area as well as all the amenities included. The lowest we could go is $1900 with an added deposit that can be paid over time of $400. Once paid the rent will be secured at $1900 Buyer: okay then I think I will accept that. Since I was concerned about that! Seller: Wonderful. You will love your new home! Seller:  Buyer: I am sure I will. Cant wait to try! Buyer: ",housing
"Buyer: Hi I am interested in purchasing your mattress Seller: Yes, it is still available.  Buyer: Great, I am very interested.  How old is the mattress? Seller: It is about 3 years old and rarely used. It was in our guest room. Buyer: Ok I see, do you have any pets in the house? Seller: No pets, unless you count my kids Buyer: Ha!  well mine do act like wild animals sometimes! :)  I can offer you $135 cash and I will pick up Seller: 225 and I will load it with you when you pick it up. Buyer: I really can't go over $175 and I can bring someone to load so you don't have to! Seller: 175 and you load it. Deal! Buyer: Great, thank you so much!  Will be over soon to pick it up!  Seller:  Buyer: ",furniture
"Buyer: Hello. I am looking for a new apartment. Are you able to tell me if the majority of the apartments in this building are students' homes? Seller: Yes it is and the great news is it is not far from the campus five minutes or less to get there! Buyer: That is great news. I''m trying to stay within budget, This apartment looks like a good fit. Are you willing to take a little less a month and possibly accept 1900? Seller: I could if you are willing to pay today? Buyer: Yes. I can have the first month and the security deposit ready. Seller: Great than we can make that deal happen! Buyer:  Seller: ",housing
"Seller: Hi! Were you interested in the frame? Buyer: I am. Can you tell me how long it is Seller: it's about 3 feet long and 2 wide. Buyer: Is it solid wood? Seller: Yes this is solid, sustainable wood. The glass on the mirror is in great shape.  Buyer: Seems like a nice piece. Would you take $60? Seller: If you can come pick it up I'm willing to go down to 85. Buyer: Will it fit into a trunk? Seller: Depends on the trunk, if not we can get it into the back seats with a cushion. Buyer: I can come today for $80 Seller: Cool works for me. Deal! Seller:  Buyer: great! Buyer: ",furniture
"Buyer: I am interest in an apartment that I can buy for a reasonable amount that is close to town and I might be interested. Seller: Well this is what you're looking for. Buyer: Can you tell me what makes it energy efficient? Seller: We have recently installed energy efficient wash/dryers in unit that use half the power of conventional units. Also we have multiple choices of energy sources for your convenience. Buyer: How big is the bathroom? Seller: They are a typical 8x8 tub/toilet/sink. Buyer: What does the kitchen have in it? Just the usual dishwasher, refrigerator, stove, and microwave? Seller: Yes, but there is also a bar attachment with over track lighting. Buyer: Ok. How reliable is the internet access? Seller: We have contracts through all major providers so as high as you can get; while for common areas we have a commercial grade service 2000bps. Buyer: I am interested in making an offer. Is the $1860 price negotiable? Seller: We do offer a slight discount for long term rentals. 12/months is the typical at 1750; however, if you need something longer we have a 5/year contract at 1500 per month. Buyer: Is there a way I can do a 5/year contract for $1200? Seller: Unfortunately no, the 1500 price is based on convenience of rentals. The 1860 is for a rental for 3 or less months for refurbishment between renters.  Buyer:  Seller: ",housing
"Seller: Hi. What do you think of 600 for this product? Buyer: Sounds kind of steep since I don't even know its real, and like you said, there's a lot of fake iphones on this site. Do you know its 100% real and in good condition and will work well? I could go up to $500 if so. Does that work for you? Seller: Is it 100% real and it works great. 100 dollars should never keep two men from their beer. 500 dollars it will be. I agree. Buyer: Sound amazing man, thanks a lot! Buyer:  Seller: You're welcome. Seller: ",phone
"Buyer: I am interested in buying the vehicle that you have for sale. Seller: the 2005 Kia? Yeah. I am looking to get $4250 for it. Clean Title, Its registered still. Runs, Has power seats. Working air conditioner.  Buyer: That sounds fair. Is it an every day car? Has it been taken on lots of trips? Seller: ",car
"Seller: Hello, I have today 5 beautiful custom hand made planter boxes. I am asking $25 for the set. I could deliver if needed. Are you interested? Buyer: Wow this Planter Boxes are so lovely. How best will it fit at Home or in and Office? Seller: These are so great they can fit practically anywhere!  Buyer: Okay thanks. Will you be able to recommend where i can get the flowers. I love the ones in the picture Seller: I am sure you could get them cheap at any Walmart, anywhere with an outdoor gardening area. Buyer: I see. Its a great indoor decoration and i am willing to offer you $18 for the boxes Seller: That hardly covers the materials, let alone the labor on all of these boxes. Could we perhaps settle on an even $20? I do wish to eat something other than Ramen noodles for dinner tonight. You understand right? Buyer: That's funny. Okay i will be able to pay that. They so lovely. We have a deal then Buyer:  Seller: ",furniture
"Seller: Hi, are you interested in purchasing the patio chair or both? Buyer: I would only like one, but would you take $125? Seller: Yes, that is a fair price. It's a deal! Buyer: Awesome Buyer:  Seller: ",furniture
"Buyer: I am very interested in this pool. Seller: Awesome! It's a great deal at the listing price I have it at. But if you are willing to sign the lease on it today I could knock 101$ off the price and let you sign for 1525 :) Buyer: That is an awesome deal but a little out of my budget for this. I would be a lot more comfortable at $1200. I do have one question though, is this heated? Seller: One of the pools is heated, and of course the sauna is as well. For 1200 though I would have to deny access to one of the three amenities. Since you want the pool the most that would mean the sauna or fitness center would have to go. Is that ok with you? If so which one would you choose to get rid of? Buyer: I could do without the fitness center for $1200 Seller: Ok. Sounds like we have a deal then.  Seller:  Buyer: ",housing
"Buyer: Hi Seller: hi Buyer: How old are these? Seller: Brand new and never been used Buyer: that is great, but i am ona budget, coudl we work out a deal? Seller: I really don't wanna go too much lower. It still have the original 20 year manufactuers warraty and I can deliver it. Buyer: Well those are some extra perks that sweeten the deal. I could do 285? Seller: If we can do $290 I'll throw in the brand new matress cover still in its package to protect mattress $45 value Buyer: Okay sounds lieka deal Buyer:  Seller: ",furniture
"Buyer:  hi do you still have the item tracker? Seller: I sure do, were you hoping to come buy it today? Buyer: Sure I could come today to get them but can you come down on the price at all? Seller: Well, its the last one I have. What were you thinking? Buyer: Would you do it for $10? Seller: Yikes, that's too low. I could knock off a few dollars if you can get here quick. How does $18 sound? Buyer: $15 and I can get there very soon. Seller: Alright, that sounds fine. I'll be out front. Buyer:  Seller: ",electronics
Seller: How does your offer for this coffee table? Buyer: Hey.  I can do 80.  I can pick it up today as well. Seller: Sound great! I can hold it for you  Buyer:  Buyer: Thanks! See you later today. Seller: see you later. Have a great day! Seller: ,furniture
"Seller: hi Buyer: hello Seller: you want the desk? Buyer: Yeah, Will you take an offer of $40 dollars if I come and pick it up with some buddies? Seller: yes Seller:  Buyer: ",furniture
"Buyer: Hi, I am very interested in your lsiting Seller: Hello, great!! I am interested in selling a pompinio frame fork. Its in great condition! Buyer: Great! Could you tell me a little more about it? Seller: Its in great condition and would need to be picked up unfortunately, but great condition.  Buyer: How large is it Seller: Its a regular, average size. I do not have the specific measurements. Buyer: Sounds good. Could we possibly do 234? Seller: How about 240 and you pick it up?  Buyer: Sounds good! Buyer:  Seller:  Seller: ",bike
"Seller: Hello, are you interested in my chairs? I'll drive them to your house for $150, deal? Buyer: 150 is too much for me, can you negotiate the price? Seller: ",furniture
"Buyer: Hi, this is just for the boxes, no phones? Seller: That is correct. Buyer: Are the manuals in the boxes? Seller: They sure are for both of them. Buyer: Is there packing material inside to support the phones? Seller: I just looked no packaging, and the manuals aren't in there but I have them and will include with the deal. Buyer: OK. Can I get them for $3? Seller: Yes I could let them go for that? Will you be able to pick them up? Seller:  Buyer: ",phone
"Buyer: Wow, this looks like a great car. I'm interested! Seller: Glad you like it, I'm asking 3500. Do you have any questions about it? Buyer: Yea, what year is it and what is the condition? Seller: It's a 1986 and it's in good condition. A couple scrapes and bumps over the years, nothing too bad. Buyer: That isnt bad at all, but the scrapes and everything make me not want to pay that much. I really don't wanna go above 2,800. I'll pay cash. Seller: This model is a classic and it is in high demand even with the bumps and scratches. I've been offered 2900 so you have to go above that. Buyer: I can go to 3000 Seller: 3200 and we have a deal. Buyer: I cannot do 3,200. I can do 3,100 Seller: 3150 then? Buyer: Sure! Buyer:  Seller: You got a deal. Seller: ",car
"Buyer: Hello im interested in your bike. How old is it Seller: The bike is a year old. I bought it used a few months ago. Buyer: Do you know how long the other owner had it? Are the tires and paint good? Seller: He received it as a Christmas gift in 2016. The paint is in excellent condition. I did not replace the tires before putting it up for sale so I would knock $40 off the price so you can replace them. Buyer: Well its a bit old. Unfortunately I only have $150.00 How does that sound? Seller: I don't think I want to go quite that low. Would you be willing to do $200? Buyer: I guess I can do that, thank you! Buyer:  Seller: ",bike
"Buyer: Hello are you still selling the sofa and chair? Seller: Yes, I am Buyer: What kind of condition are they in? Seller: They're in excellent used condition, the fabric shrunk a bit in the wash but not so much that it's unusable or noticeable Buyer: How long have you had them and why are you selling them? Seller: I've had them a year, I'm selling them because I am moving overseas Buyer: Are you willing to come down on the price a little bit? Seller: I would be willing to do that, sure Buyer: That would be great how about $600",furniture
"Buyer: Hi, I just saw the listing near emeryville and I want to verify that its still available Seller: Yes its still available and its listed  for a prize of $2700 Buyer: That's too high for that market though, I'd like to make an offer of $1347 please. I'm trying to stay in my budget Seller: That way too low! I can do 2200 and add the the utilities to the offer. Buyer: how much are the utilities per month? Seller: about $200/$250, you wont find a better offer in the area. Buyer: A unit next door is available for 2000 per month though. why is this one so high? Seller: Its higher because it has a better interior design, your welcome to visit both units but you will see theres a big difference between them.  Buyer: I'm sure there is. I'll take you up on the 2200 as long as you honor the utility agreement too. deal? Buyer:  Seller: Ok, great so we have a deal then! Seller: ",housing
"Buyer: Hi, is the apartment downtown still available? Seller: Yes, it is. It's a beautiful apartment and has had a lot of renovations! Buyer: I can see that from the pictures.  My concern would be the noise level.  I usually work from home and feel the noise especially at night would be a distraction. Seller: I haven't had any complaints about noise from the current tenants. If you have problems with noise, call me, and I will take care of the problem. I want my tenants to be comfortable and happy! Buyer: I was speaking on outside of the apartment being that it's downtown.  $1700 is a bit steep for me.  Would you be willing to accept $1190 considering? Seller: Oh, I see what you meant. I don't think there is that much going on at night in downtown Walnut Creek, but I could be wrong. I could come down a little, but $1190 is a bit low. How about $1400, and I'll pay the utility bills? Buyer: That's still a little out of my range but how does $1300 sound? Seller: If you sign a two year lease, I'll do $1300. Buyer: hmm...I will be in the area for at least a few years so I can sign a 2 yr lease with paid utilities. Seller: Okay, it's a deal. Buyer: great! Seller:  Buyer: ",housing
Buyer: I can do $95 dollars if you deliver it Seller: This is a great table. An antique. It is in great condition and has all the original hardware. I could do $115 if you pick it up Buyer: $110 and your guy helps me put it together,furniture
"Buyer: Hi there! I am interested in your bike! Can you tell me a little more about it? Seller: Hello. The bike is in an immaculate condition, drives less than 100 miles. Its frame is carbon fiber and its not a boost model. Its a great thing for summer Buyer: awe man that sounds great! The thing is i dont have the amount your asking. would you go any lower? Seller: Yes I am ready to negotiate. How much are you willing to pay?  Buyer: All i have is $3800. Would you be willing to sell at that price? I really would appreciate it!  Seller: I could accept $3900 because its in a very mint condition and its something worth it Buyer: How about $3850? Meet me in the middle? Seller: Okay I will take that. But I do only cash or cashier's check only? Buyer: Cash it is!  Buyer:  Seller: ",bike
"Seller: Hello, you're looking for a room? Buyer: Hi I am interested in the 2 bedroom apartment you advertised Seller: Great! It's a beautiful place. Very close to the university. 2nd floor, right next to the laundry room Buyer: The pictures imply that it's currently empty. Do you know if the previous owner was a smoker? Seller: No, It's a clean room in a great building. Lists at $2600 a month, and it won't stay empty for long Buyer: The ad states that the bathroom is ""newer"" with granite counter tops. how new is ""newer?"" Seller: I had the bathroom redone about 2 years ago. They still look great!",housing
"Seller: Good morning Buyer: Hi there. Nice bike. How many miles are on it? Seller: Just under 100.  The odometer I bought with it shows 97. Buyer: Okay. Does it work well? Seller: Yes, there are no issues with the bike and it has always been kept in the garage when it isn't being ridden. Buyer: Great. That's good to know. I'm interested but 350 is a pretty steep price for a bike that's over 20 years old. Seller: Ok, well, it is in great condition, but I am willing to bargain Buyer: Okay. I can take it off your hands today for 300. I can pick it up myself. Seller: I think $300 is completely reasonable.   Seller:  Buyer: Awesome. I'll email you with the time  Buyer: ",bike
"Seller: Hi there - you're interested in my phone? Buyer: yes i am how long was it used? Seller: Only a year. No real wear and tear on it. Looks almost new. Buyer: I dont exactly have 350, would you accept 266? Seller: I don't think I could accept that. This phone is unlocked, it comes with a charger, its worth more. How about 325 Buyer: ok deal Buyer:  Seller: ",phone
"Seller: Hi there. Are you still interested in my Mazda? Buyer: I am. How many miles does it have? Any accidents? Seller: It's at about 140k, so it's got some miles on it, but no accidents. Buyer: Are you original owner? Seller: Yes, I am the original owner. I'm asking 8k for it. Buyer: According to KBB it is worth less then that. I could come get it today for $4000. Seller: that's way too low for me. I could do 7? Buyer: I could do 6 and get it tomorrow. Seller: 6.5? Aside from mileage it's in good shape. Buyer: ok. I will do $6500 Seller:  Buyer: ",car
